Nummer;ID;sentimentScore;isMatch;text
23;8.89E+22;-1;1;Vorsprung durch Leckmich. #Kartell
168;8.57E+22;-1;1;Gefährlicher Relativismus zu linksextremer Gewalt von Links im #AgH #Berlin
173;9.02E+22;-1;1;Gauland will eine Deutsche mit türkischen Wurzeln  die Mitglied der Bundesregierung ist  entsorgen. Das nennt man Rassismus.
185;9.05E+22;-1;1;Estland: Sicherheitslücke in fast 750.000 ID-Cards https://t.co/PZEJyYUJQJ
187;9.05E+22;-1;1;Wenn Merkel die Migranten unbedingt will  kann sie sie doch in ihrem Garten unterbringen!#AfD #EuGH #TrauDichDeutschland
199;8.48E+22;-1;0.5;In Leipzig wurde auf das Linxxnet  Abgeordnetenbüro von @luna_le  geschossen. https://t.co/LLEeyIGIR4
202;8.37E+22;-1;0.5;@CDUFraktionRLP fordert  dass LReg + Haushaltsberatungen nach dem Gerichtsurteil #Haushalt verfassungswidrig nicht zur TO übergehen können
242;8.75E+22;-1;1;Schüsse auf Rettungseinsätze. Völkerrechtswidrige Rückführungen. Lebensgefährliche Manöver auf See. 
246;8.85E+22;-1;1;Wieder Anschläge auf zwei Politiker in #Neukölln: Neonazis zünden Autos an. https://t.co/YjX1msJAWI https://t.co/WG0t6ybL…
305;8.36E+22;-1;1;@EthicalFuture Andere nennen es Berufsausübung  Missachtung der Pressefreiheit und Verletzung von Rechten.
362;8.58E+22;-1;1;#AfD-Stadtrat Eberhard Brett Opfer brutaler linker Gewalt. #Krankenhaus #Stuttgart #Linksextremismus #Antifa https://t.c…
378;8.58E+21;-1;1;#Studiengebühren für Ausländer in Baden-Württemberg: Das ist grüne Arroganz pur! Und das in Zeiten rechter Hetze. Schämt Euch! #Bauer-Maut
383;9.05E+22;-1;1;Empörend: Merkel täuscht Zuschauer beim #TVDuell zum #Dieselskandal. Hier der Video-Beweis. https://t.co/ln41n7AVPl
441;8.83E+22;-1;1;June Tomiak wer #Hass sät wird Gewalt ernten.  Klares Bekenntnis zu politischer Gewalt durch #Gruene im #AgH #Berlin #G20
481;8.21E+22;-1;1;Das Wichtigste im Kampf gegen die extreme Rechte  Rassismus und Antisemitismus ist die Förderung von Demokratie und gelebter Antifaschismus!
509;8.74E+22;-1;1;Geplante #Grundrechtseingriffe der #Innenminister sind ebenso armselig wie bösartig @StatewatchEU https://t.co/6g2mp9zGOx
523;8.49E+21;-1;1;Aktivisten: 35 Tote nach Giftgas-Anschlag in Syrien https://t.co/JOrnT3k6BK #Syrien #Giftgas
599;8.66E+22;-1;0.5;Deniz #Yücel: Seit 96 Tagen in türkischer Haft - #FreeDeniz https://t.co/89vBuZJHrR
620;9.00E+22;-1;0.5;Jetzt fordern auch die Autohändler: Industrie muss alte Diesel auf eigene Kosten nachrüsten #Dieselgate  https://t.co/1m1ol1hAMJ
630;8.83E+22;-1;0.5;Was ich darüber denke  darf ich hier nicht öffentlich sagen. https://t.co/CgDKoDn3y2
632;8.85E+28;-1;1;Liu Xiaobo ist tot. Wir trauern um ein mutigen und standhaften Streiter für Menschenrechte. Seine Stimme wird fehlen! @WiP_Deutschland
637;8.74E+22;-1;1;Ein 20-jähriger US-amerikanischer Tourist ist am Sonntagmorgen in der Spree ertrunken. https://t.co/CpbmUlDK3N https://t.…
648;8.74E+22;-1;1;Das ist eine unverzeihliche Verantwortungslosigkeit. Tausende Menschenleben sind gefährdet. Sofort abschalten https://t.co/DEc0UCd5ic
664;9.06E+22;-1;1;Das wird in Bayern Wellen schlagen: »Franz Josef Strauß würde AfD wählen« https://t.co/A8AJUMrcWV
711;9.00E+22;-1;1;und SPDCDU lassen prüfen  ob Stellenanforderung des Datenschützers gerechtfertigt sind.lächerlicher Haufen! https://t.co/vOGGqVdqTA
725;8.89E+22;-1;1;Berlin-Neukölln: Buchladen schließt nach Drohungen der Antifa https://t.co/C15ACg44x9 https://t.co/epVtLtpZ1e
742;9.00E+22;-1;1;Vor 25 Jahren begann die rassistische Gewalt in Rostock-#Lichtenhagen. Sie hat meinen Einsatz gegen Ausgrenzung &amp  Gewalt maßgeblich geprägt.
756;8.84E+22;-1;1;Nordkorea verfügt über Interkontinentalraketen  die Alaska treffen könnte.https://t.co/PdsqWIB0ai
812;8.55E+22;-1;1;Verfolgung von schwulen Männern in Tschetschenien - das @AuswaertigesAmt hat geantwortet | mit @berlinliebich https://t.co/d6mOVKz8E1
827;8.40E+22;-1;0.5;Hilfreiche Einordnung: Warum Schulz’ Pläne vielen Arbeitslosen nicht helfen   https://t.co/oYsHTarQ4J via @faznet
828;8.71E+22;-1;1;Die Gerda hat Recht! SPD konfus. Und Straftäter und Gefährder müssen weiterhin zurück nach Afghanistan https://t.co/kuDHI4qsil
829;9.01E+22;-1;1;Nach Merkel Besuch in Vacha: junge Wahlkampfhelfer der CDU zusammen geschlagen. Krankenhaus. Polizei ermittelt.
830;8.38E+22;-1;1;Hersteller betrügen bei #Diesel Abgasen. Wenn #Dobrindt Umrüstung anordnen würde  bräuchten wir Fahrverbote nicht https://t.co/Jz1RhiZG1f
834;8.80E+22;-1;1;Kalifornien machts vor und warnt vor #Monsanto-Pflanzengift  #Glyphosat -  wegen Krebsgefahr! https://t.co/yopO5lI5ng
837;8.97E+22;-1;1;#Faktencheck SozialdemokratInnen wurden in der DDR eingesperrt und ermordet. Mit CDU fusionierte Ost-CDU hat Mauer… https://t.co/fV9wgkXOeO
840;9.08E+22;-1;0.5;#Rentnerin bringt #Merkel ins Stottern. #Altersarmut Deshalb #GrüneGarantierente #Klartext
865;9.05E+22;-1;1;Heute Eröffnung des Erinnerungsortes für die Opfer des Olympia-Attentats in München :  Unschuldige Opfer mahnen uns
883;8.98E+22;-1;0.5;Youtuber sind halt keine kritischen Journalisten  eher unterwürfiges Entertainment https://t.co/wfsEtJuGDe
888;9.07E+22;-1;1;Für wie dumm halten die Altparteien eigentlich den Bürger? #AfD #TrauDichDeutschland #BTW17 https://t.co/B8j5TdmdQG
924;9.08E+22;-1;1;Razzia! Reichsbürger baute Fake-Waffen zu scharfen Waffen um https://t.co/eB1X6LdGpJ
925;8.30E+22;-1;1;Rassistische Gewalt &amp  Angriffe auf demokratische Parteien Ergebnis verbaler Hetze von rechten Scharfmachern. Dagege… https://t.co/IA0RlfvoQl
56;8.98E+21;-1;1;#Sexismus ist es übrigens auch wenn kurze Hosen im #plenumth ein Problem sind kurze Röcke aber völlig in Ordnung #stillneedfeminism
67;9.11E+22;-1;1;Mücken!Es ist Herbst. Geht sterben!
75;8.97E+21;-1;0.5;Diese Schlepper müssen vor Gericht und in Haftung genommen werden.https://t.co/ZI0p6fjZvP
76;8.96E+22;-1;1;AfD plakatiert unerlaubt vor @jmberlin. @JusosBerlin helfen Ordnungsamt beim entfernen. AfD spielt Opfer. https://t.co/mL9ViHzDpP
191;9.02E+22;-1;1;#Doppelmoral der #Grünen! Das passiert mit unseren Steuergeldern - es ist einfach nur unglaublich. Abwählen!
198;8.33E+22;-1;0.5;läuft nicht gut für merkel: https://t.co/uYhZJW8OsT
207;9.05E+22;-1;1;Immer mehr Menschen werden um ihre Lebensleistung betrogen. Jeder Vierte geht jetzt schon mit Abschlägen in Rente.
50;8.36E+22;-1;1;Das Haft-Protokoll. Bewegender Text von @Besser_Deniz aus dem Knast. https://t.co/0tQR7dHh7y #freedeniz
49;8.67E+22;-1;1;»In #Mönchengladbach ist die Polizei mit Stimmenauszählung befasst: Wir prüfen ob Wahlbetrug in Betracht kommt.«https://t…
192;9.19E+22;-1;1;Obdachlose Prostituierte Mord - #Berlin leidet unter RotRotGrün.Video Podcast.https://t.co/vmHclhTe45
300;8.83E+22;-1;1;Hamburg #G20 aktuell 160 verletzte Beamte! Wahnsinn.
